City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Roma,43.21,-75.46,39.2,44,1,5.82,US,2020-04-19 01-08:09,clear sky,0.0,0.0
Colares,38.8,-9.45,59.0,87,1,13.85,PT,2020-04-19 01-05:40,clear sky,0.0,0.0
Georgetown,5.41,100.34,84.2,94,20,3.36,MY,2020-04-19 01-03:19,few clouds,0.0,0.0
Porto Velho,-8.76,-63.9,78.8,74,40,4.7,BR,2020-04-19 01-07:16,scattered clouds,0.0,0.0
Manjeshwar,12.72,74.89,80.6,78,20,4.7,IN,2020-04-19 01-04:17,few clouds,0.0,0.0
Columbia,34.0,-81.03,71.6,26,1,6.29,US,2020-04-19 01-03:19,clear sky,0.0,0.0
Eenhana,-17.47,16.33,69.8,73,98,5.82,NA,2020-04-19 01-08:12,light rain,0.21,0.0
Los Llanos De Aridane,28.66,-17.92,64.4,68,4,8.05,ES,2020-04-19 01-01:44,clear sky,0.0,0.0
Gao,16.64,1.64,84.92,11,45,7.85,ML,2020-04-19 01-03:29,scattered clouds,0.0,0.0
Dorogobuzh,54.91,33.3,33.76,89,96,6.8,RU,2020-04-19 01-08:14,overcast clouds,0.0,0.0
Amurzet,47.7,131.1,57.07,40,66,7.78,RU,2020-04-19 01-08:14,broken clouds,0.0,0.0
Ovre Ardal,61.32,7.8,28.92,72,5,1.48,NO,2020-04-19 01-08:15,clear sky,0.0,0.0
Edd,13.93,41.69,86.0,55,100,12.82,ER,2020-04-19 01-04:07,light rain,1.17,0.0
Carnarvon,-24.87,113.63,75.2,78,89,9.17,AU,2020-04-19 01-03:32,overcast clouds,0.0,0.0
Nangomba,-10.9,38.5,69.13,90,90,3.8,TZ,2020-04-19 01-08:16,light rain,0.5,0.0
Muhos,64.81,25.99,33.8,86,24,5.82,FI,2020-04-19 01-08:17,few clouds,0.0,0.0
Makakilo City,21.35,-158.09,82.4,54,1,13.87,US,2020-04-19 01-01:12,clear sky,0.0,0.0
Chabahar,25.29,60.64,77.0,72,39,5.35,IR,2020-04-19 01-08:18,scattered clouds,0.0,0.0
Nelson Bay,-32.72,152.15,71.01,59,12,5.82,AU,2020-04-19 01-05:07,light rain,0.29,0.0
Darab,28.75,54.54,62.51,40,76,2.01,IR,2020-04-19 01-07:07,broken clouds,0.0,0.0
Esna,25.29,32.55,68.0,60,0,7.2,EG,2020-04-19 01-06:04,clear sky,0.0,0.0
Andapa,-14.65,49.65,65.55,78,62,3.2,MG,2020-04-19 01-08:19,broken clouds,0.0,0.0
Dwarka,22.24,68.97,79.92,82,22,12.93,IN,2020-04-19 01-03:32,few clouds,0.0,0.0
Boquira,-12.82,-42.73,70.45,77,100,2.93,BR,2020-04-19 01-08:21,moderate rain,3.44,0.0
Nome,64.5,-165.41,34.0,100,90,6.93,US,2020-04-19 01-03:32,overcast clouds,0.0,0.0
Remedios,22.49,-79.55,82.4,69,40,9.17,CU,2020-04-19 01-08:22,scattered clouds,0.0,0.0
Shaowu,27.34,117.48,73.94,75,80,3.22,CN,2020-04-19 01-08:22,light rain,2.6,0.0
Talnakh,69.49,88.4,35.6,74,100,35.79,RU,2020-04-19 00-58:56,overcast clouds,0.0,0.0
Talakan,50.32,130.37,56.59,33,100,15.39,RU,2020-04-19 01-08:23,overcast clouds,0.0,0.0
Sinop,41.77,34.87,46.58,56,0,1.54,TR,2020-04-19 01-08:24,clear sky,0.0,0.0
Tual,-5.67,132.75,84.07,75,96,6.89,ID,2020-04-19 01-08:24,moderate rain,3.84,0.0
Altus,34.64,-99.33,62.6,55,90,16.11,US,2020-04-19 01-08:25,overcast clouds,0.0,0.0
Bay Saint Louis,30.31,-89.33,71.6,94,75,4.7,US,2020-04-19 01-08:25,broken clouds,0.0,0.0
Tono,39.32,141.53,53.6,62,40,23.04,JP,2020-04-19 01-08:26,scattered clouds,0.0,0.0
Ylojarvi,61.56,23.6,36.0,69,20,6.93,FI,2020-04-19 01-08:26,few clouds,0.0,0.0
La Ronge,55.1,-105.28,32.0,82,75,11.41,CA,2020-04-19 01-03:18,broken clouds,0.0,0.0
Merritt,50.11,-120.79,64.4,39,75,2.24,CA,2020-04-19 01-08:27,broken clouds,0.0,0.0
Cap Malheureux,-19.98,57.61,75.0,85,23,5.99,MU,2020-04-19 01-03:52,light rain,0.0,0.0
Turka,49.15,23.03,39.0,45,32,1.88,UA,2020-04-19 01-08:28,scattered clouds,0.0,0.0
Teterow,53.78,12.57,39.2,78,40,6.93,DE,2020-04-19 01-08:29,scattered clouds,0.0,0.0
Pisco,-13.7,-76.22,69.8,77,22,18.34,PE,2020-04-19 01-03:15,few clouds,0.0,0.0
Chifeng,42.27,118.96,53.96,34,100,11.5,CN,2020-04-19 01-08:31,overcast clouds,0.0,0.0
Padang,-0.95,100.35,78.84,76,83,3.89,ID,2020-04-19 01-03:47,light rain,0.17,0.0
Montes Claros,-16.73,-43.86,68.27,71,58,8.39,BR,2020-04-19 01-08:32,broken clouds,0.0,0.0
Sobolevo,54.43,31.9,34.07,82,93,8.79,RU,2020-04-19 01-03:39,overcast clouds,0.0,0.0
Rosarito,32.33,-117.03,63.0,67,75,14.99,MX,2020-04-19 01-08:33,broken clouds,0.0,0.0
Kloulklubed,7.04,134.26,82.4,83,75,8.05,PW,2020-04-19 01-08:33,broken clouds,0.0,0.0
Kilosa,-6.83,36.98,69.21,78,97,3.38,TZ,2020-04-19 01-08:34,light rain,0.55,0.0
Marneuli,41.48,44.81,55.4,66,75,14.99,GE,2020-04-19 01-08:35,light intensity shower rain,0.0,0.0
Tiksi,71.69,128.87,10.22,85,67,3.76,RU,2020-04-19 01-03:10,broken clouds,0.0,0.0
Waingapu,-9.66,120.26,81.73,76,60,5.73,ID,2020-04-19 01-08:36,broken clouds,0.0,0.0
Yerbogachen,61.28,108.01,15.89,87,49,7.36,RU,2020-04-19 01-08:36,scattered clouds,0.0,0.0
Salihorsk,52.79,27.54,35.71,79,84,6.8,BY,2020-04-19 01-08:37,broken clouds,0.0,0.0
Abalak,58.13,68.59,40.39,81,89,6.69,RU,2020-04-19 01-08:37,overcast clouds,0.0,0.0
Lavrentiya,65.58,-171.0,20.61,96,100,10.11,RU,2020-04-19 01-04:01,light snow,0.0,0.62
Mangrol,21.12,70.12,79.25,66,30,10.92,IN,2020-04-19 01-08:38,scattered clouds,0.0,0.0
Haines Junction,60.75,-137.51,50.52,39,4,0.98,CA,2020-04-19 01-01:30,clear sky,0.0,0.0
Panaba,21.28,-88.27,90.28,42,31,10.71,MX,2020-04-19 01-08:39,scattered clouds,0.0,0.0
Kupang,-10.17,123.58,77.0,94,20,5.82,ID,2020-04-19 01-08:40,few clouds,0.0,0.0
Ellisras,-23.66,27.74,63.45,62,7,7.72,ZA,2020-04-19 01-08:40,clear sky,0.0,0.0
Manaure,11.78,-72.44,81.93,68,6,19.46,CO,2020-04-19 01-08:41,clear sky,0.0,0.0
Katsuura,35.13,140.3,66.0,50,15,21.14,JP,2020-04-19 01-04:47,few clouds,0.0,0.0
Puerto Baquerizo Moreno,-0.9,-89.6,78.57,83,23,10.78,EC,2020-04-19 01-08:42,light rain,0.12,0.0
Vikhorevka,56.12,101.16,24.8,38,0,8.95,RU,2020-04-19 01-08:42,clear sky,0.0,0.0
Moroni,-11.7,43.26,81.52,77,82,13.42,KM,2020-04-19 01-08:43,light rain,0.38,0.0
Chenghai,23.46,116.77,77.0,83,40,2.24,CN,2020-04-19 01-08:44,scattered clouds,0.0,0.0
Merta,26.65,74.03,76.89,37,89,4.97,IN,2020-04-19 01-08:44,overcast clouds,0.0,0.0
Odessa,46.48,30.73,44.6,52,23,4.47,UA,2020-04-19 01-08:45,few clouds,0.0,0.0
Poronaysk,49.22,143.12,33.4,90,89,6.69,RU,2020-04-19 01-08:45,overcast clouds,0.0,0.0
Liuzhou,24.31,109.39,75.6,83,100,6.04,CN,2020-04-19 01-08:46,light rain,0.22,0.0
Grindavik,63.84,-22.43,37.4,100,90,5.82,IS,2020-04-19 01-03:28,light rain,0.0,0.0
Namibe,-15.2,12.15,74.98,69,70,5.79,AO,2020-04-19 01-03:42,light rain,0.28,0.0
Port Blair,11.67,92.75,83.97,75,23,7.54,IN,2020-04-19 01-08:48,few clouds,0.0,0.0
Mantua,45.17,10.78,55.99,76,81,1.99,IT,2020-04-19 01-08:49,broken clouds,0.0,0.0
Burns Lake,54.23,-125.75,55.56,34,18,3.56,CA,2020-04-19 01-03:56,few clouds,0.0,0.0
Thunder Bay,48.4,-89.32,46.4,45,75,10.29,CA,2020-04-19 00-58:34,broken clouds,0.0,0.0
Vung Tau,10.35,107.08,82.22,77,100,14.92,VN,2020-04-19 01-08:51,overcast clouds,0.0,0.0
Mount Isa,-20.73,139.5,84.2,18,13,10.29,AU,2020-04-19 01-08:51,few clouds,0.0,0.0
Komsomolskiy,40.43,71.72,51.8,66,4,6.93,UZ,2020-04-19 01-08:52,clear sky,0.0,0.0
Namie,37.48,141.0,57.0,84,83,5.01,JP,2020-04-19 01-08:52,light rain,1.03,0.0
Chimbote,-9.09,-78.58,71.53,82,1,7.7,PE,2020-04-19 01-08:53,clear sky,0.0,0.0
Katobu,-4.94,122.53,81.81,80,85,2.55,ID,2020-04-19 01-08:53,light rain,1.09,0.0
Yanam,16.73,82.22,79.9,88,0,6.44,IN,2020-04-19 01-08:54,clear sky,0.0,0.0
Vaasa,63.1,21.62,33.8,80,0,5.82,FI,2020-04-19 01-08:55,clear sky,0.0,0.0
Saint-Augustin,51.23,-58.65,25.12,92,43,12.71,CA,2020-04-19 01-03:57,scattered clouds,0.0,0.0
Cabra,37.47,-4.44,61.0,87,38,4.7,ES,2020-04-19 01-08:56,light rain,0.77,0.0
Half Moon Bay,37.46,-122.43,64.0,71,90,6.93,US,2020-04-19 00-58:35,overcast clouds,0.0,0.0
San Vicente,-26.62,-54.13,60.35,61,0,2.33,AR,2020-04-19 01-08:57,clear sky,0.0,0.0
Caiaponia,-16.96,-51.81,67.89,80,100,4.36,BR,2020-04-19 01-08:57,moderate rain,3.77,0.0
Mbandaka,0.05,18.26,70.93,88,79,1.88,CD,2020-04-19 01-08:58,light rain,0.44,0.0
Mattru,7.62,-11.83,76.95,83,90,2.98,SL,2020-04-19 01-08:59,overcast clouds,0.0,0.0
Psebay,44.12,40.81,44.26,46,61,4.07,RU,2020-04-19 01-09:00,broken clouds,0.0,0.0
Pemangkat,1.17,108.97,76.89,83,100,7.11,ID,2020-04-19 01-09:00,overcast clouds,0.0,0.0
Atar,20.52,-13.05,70.0,24,0,10.51,MR,2020-04-19 01-03:40,clear sky,0.0,0.0
Gogrial,8.53,28.1,82.98,21,83,5.39,SS,2020-04-19 01-09:01,broken clouds,0.0,0.0
Turukhansk,65.82,87.98,38.75,77,100,16.84,RU,2020-04-19 01-09:02,overcast clouds,0.0,0.0
Karpathos,35.51,27.21,57.2,82,0,6.93,GR,2020-04-19 01-09:02,clear sky,0.0,0.0
Senanga,-16.12,23.27,67.84,57,95,4.18,ZM,2020-04-19 01-09:03,overcast clouds,0.0,0.0
Paita,-5.09,-81.11,75.9,68,4,11.45,PE,2020-04-19 01-04:18,clear sky,0.0,0.0
Bongandanga,1.5,21.05,68.9,87,36,2.01,CD,2020-04-19 01-09:04,scattered clouds,0.0,0.0
Villa Carlos Paz,-31.42,-64.5,69.01,59,0,12.75,AR,2020-04-19 01-09:05,clear sky,0.0,0.0
Honavar,14.28,74.45,80.51,85,77,1.74,IN,2020-04-19 01-09:05,broken clouds,0.0,0.0
Ust-Nera,64.57,143.2,0.82,76,91,6.4,RU,2020-04-19 01-09:06,overcast clouds,0.0,0.0
Qasigiannguit,68.82,-51.19,24.8,68,95,18.34,GL,2020-04-19 01-03:20,light snow,0.0,0.0
Ati,13.22,18.34,82.36,13,4,13.04,TD,2020-04-19 01-09:07,clear sky,0.0,0.0
Koumac,-20.57,164.28,81.23,63,48,4.05,NC,2020-04-19 01-09:07,scattered clouds,0.0,0.0
Synya,65.37,58.04,27.43,97,93,2.19,RU,2020-04-19 01-05:24,overcast clouds,0.0,0.0
Bilozerka,46.62,32.44,45.5,58,15,0.83,UA,2020-04-19 01-09:09,few clouds,0.0,0.0
Praya,14.92,-23.51,71.6,60,40,17.22,CV,2020-04-19 01-04:19,scattered clouds,0.0,0.0
Tambura,5.6,27.47,72.93,68,92,3.89,SS,2020-04-19 01-09:10,overcast clouds,0.0,0.0
Beyneu,45.32,55.2,60.85,33,94,12.77,KZ,2020-04-19 01-09:12,overcast clouds,0.0,0.0
Tezu,27.92,96.17,68.9,69,78,1.88,IN,2020-04-19 01-09:13,light rain,0.6,0.0
Mildura,-34.2,142.15,64.99,55,74,4.7,AU,2020-04-19 01-03:59,broken clouds,0.0,0.0
Touros,-5.2,-35.46,78.8,94,75,2.24,BR,2020-04-19 01-01:23,broken clouds,0.0,0.0
Marsh Harbour,26.54,-77.06,80.49,76,44,9.93,BS,2020-04-19 01-05:07,light rain,1.02,0.0
Fairlie,55.76,-4.86,39.0,85,5,3.0,GB,2020-04-19 01-09:15,clear sky,0.0,0.0
Porto Santo,33.07,-16.34,60.8,77,20,9.17,PT,2020-04-19 01-04:17,few clouds,0.0,0.0
Alofi,-19.06,-169.92,84.2,70,51,16.11,NU,2020-04-19 01-01:04,light rain,0.25,0.0
Aranos,-24.13,19.12,73.9,32,60,15.3,NA,2020-04-19 01-09:17,broken clouds,0.0,0.0
Savannah Bight,16.45,-85.85,81.63,80,0,24.79,HN,2020-04-19 01-09:17,clear sky,0.0,0.0
Preobrazheniye,42.9,133.91,48.15,50,3,6.96,RU,2020-04-19 01-09:19,clear sky,0.0,0.0
Suntar,62.14,117.63,15.94,90,95,6.46,RU,2020-04-19 01-09:19,overcast clouds,0.0,0.0
Ancud,-41.87,-73.82,53.6,87,20,6.93,CL,2020-04-19 01-00:46,few clouds,0.0,0.0
Mwene-Ditu,-7.0,23.45,67.06,77,100,3.96,CD,2020-04-19 01-09:20,moderate rain,4.38,0.0
Griffith,41.53,-87.42,52.0,50,1,20.8,US,2020-04-19 01-05:13,clear sky,0.0,0.0
Sioux Lookout,50.1,-91.92,33.8,83,90,13.87,CA,2020-04-19 01-09:21,overcast clouds,0.0,0.0
Hay River,60.82,-115.8,48.2,39,75,11.41,CA,2020-04-19 01-03:32,broken clouds,0.0,0.0
Kattivakkam,13.22,80.32,84.0,88,40,3.36,IN,2020-04-19 01-04:06,scattered clouds,0.0,0.0
Salalah,17.02,54.09,80.6,74,40,4.7,OM,2020-04-19 01-09:23,scattered clouds,0.0,0.0
Manggar,-2.88,108.27,82.06,77,100,1.3,ID,2020-04-19 01-09:23,overcast clouds,0.0,0.0
Egvekinot,66.32,-179.17,8.58,89,100,20.69,RU,2020-04-19 01-03:41,light snow,0.0,0.57
Caravelas,-17.71,-39.25,76.51,78,93,17.25,BR,2020-04-19 01-03:49,overcast clouds,0.0,0.0
Loves Park,42.32,-89.06,57.2,44,1,20.8,US,2020-04-19 01-09:29,clear sky,0.0,0.0
San Cristobal,7.77,-72.22,70.14,59,70,1.39,VE,2020-04-19 01-03:20,light rain,1.12,0.0
Cedar City,37.68,-113.06,48.2,70,90,8.05,US,2020-04-19 01-07:07,moderate rain,0.0,0.0
Kalabo,-14.97,22.68,67.77,56,92,5.86,ZM,2020-04-19 01-04:08,overcast clouds,0.0,0.0
Kruisfontein,-34.0,24.73,65.44,34,0,6.76,ZA,2020-04-19 01-00:40,clear sky,0.0,0.0
Ashland,40.82,-82.27,48.2,49,75,10.29,US,2020-04-19 01-09:34,broken clouds,0.0,0.0
Sao Francisco,-15.95,-44.86,70.48,80,48,4.52,BR,2020-04-19 01-09:34,light rain,0.87,0.0
Bairiki,1.33,172.98,86.0,79,40,6.93,KI,2020-04-19 01-09:34,scattered clouds,0.0,0.0
Walvis Bay,-22.96,14.51,55.99,93,0,2.24,NA,2020-04-19 01-00:08,clear sky,0.0,0.0
Gladstone,-23.85,151.25,78.8,74,75,4.7,AU,2020-04-19 01-09:35,broken clouds,0.0,0.0
Guerrero Negro,27.98,-114.06,63.99,61,0,21.45,MX,2020-04-19 01-01:09,clear sky,0.0,0.0
Nador,35.17,-2.93,62.6,93,75,2.24,MA,2020-04-19 01-09:36,broken clouds,0.0,0.0
Dukat,62.55,155.55,-1.03,81,100,7.0,RU,2020-04-19 01-09:37,light snow,0.0,0.44
Chapais,49.78,-74.85,37.4,44,90,8.05,CA,2020-04-19 01-09:37,overcast clouds,0.0,0.0
Jacareacanga,-6.22,-57.75,74.01,92,49,0.6,BR,2020-04-19 01-09:38,light rain,1.51,0.0
Urusha,54.05,122.9,21.45,88,100,12.39,RU,2020-04-19 01-09:38,light snow,0.0,0.33
Husavik,66.04,-17.34,37.4,86,90,11.41,IS,2020-04-19 01-03:34,overcast clouds,0.0,0.0
Porto Novo,6.5,2.6,82.4,94,40,9.17,BJ,2020-04-19 01-05:29,scattered clouds,0.0,0.0
Semnan,35.57,53.4,59.09,35,100,1.12,IR,2020-04-19 01-09:39,overcast clouds,0.0,0.0
Buenos Aires,-34.61,-58.38,69.01,82,0,5.82,AR,2020-04-19 01-08:27,clear sky,0.0,0.0
Narsaq,60.92,-46.05,28.4,46,93,12.75,GL,2020-04-19 01-03:05,light snow,0.0,0.35
Manakara,-22.13,48.02,73.24,86,5,3.02,MG,2020-04-19 01-09:41,light rain,0.54,0.0
Itarema,-2.92,-39.92,77.56,83,31,1.52,BR,2020-04-19 01-03:42,scattered clouds,0.0,0.0
Hobyo,5.35,48.53,83.7,74,89,10.13,SO,2020-04-19 01-09:42,light rain,1.56,0.0
Ixtapa,20.7,-105.2,75.2,78,90,9.17,MX,2020-04-19 01-09:42,overcast clouds,0.0,0.0
Esperance,-33.87,121.9,60.8,87,100,17.22,AU,2020-04-19 01-03:33,overcast clouds,0.0,0.0
Tecoanapa,16.52,-98.75,84.13,64,54,8.14,MX,2020-04-19 01-09:43,broken clouds,0.0,0.0
Okhotsk,59.38,143.3,14.97,84,2,13.13,RU,2020-04-19 01-09:44,clear sky,0.0,0.0
Luderitz,-26.65,15.16,59.0,93,3,6.93,NA,2020-04-19 01-03:20,clear sky,0.0,0.0
Yaan,7.38,8.57,81.7,68,79,11.07,NG,2020-04-19 01-09:45,broken clouds,0.0,0.0
East Millcreek,40.7,-111.81,62.6,38,1,8.05,US,2020-04-19 01-09:46,clear sky,0.0,0.0
Orocue,4.79,-71.34,80.49,67,36,7.58,CO,2020-04-19 01-09:46,light rain,0.45,0.0
Caibarien,22.52,-79.47,82.4,69,40,9.17,CU,2020-04-19 01-09:47,scattered clouds,0.0,0.0
Monrovia,6.3,-10.8,78.8,94,75,8.52,LR,2020-04-19 01-09:47,broken clouds,0.0,0.0
San Ramon,37.78,-121.98,64.99,52,1,11.41,US,2020-04-19 01-06:56,clear sky,0.0,0.0
Miragoane,18.44,-73.09,80.46,75,22,3.98,HT,2020-04-19 01-09:48,light rain,0.9,0.0
Ozernovskiy,51.5,156.52,33.6,93,44,10.29,RU,2020-04-19 01-09:49,scattered clouds,0.0,0.0
Togur,58.36,82.83,38.08,78,82,9.75,RU,2020-04-19 01-09:49,broken clouds,0.0,0.0
Inhambane,-23.86,35.38,74.21,78,35,13.18,MZ,2020-04-19 01-01:08,scattered clouds,0.0,0.0
Zarinsk,53.71,84.95,37.17,74,0,6.04,RU,2020-04-19 01-09:50,clear sky,0.0,0.0
Praia Da Vitoria,38.73,-27.07,62.6,88,40,21.39,PT,2020-04-19 01-03:33,scattered clouds,0.0,0.0
Berlevag,70.86,29.09,34.47,87,70,10.25,NO,2020-04-19 01-02:45,broken clouds,0.0,0.0
Aksay,47.26,39.87,37.4,47,100,2.24,RU,2020-04-19 01-09:52,overcast clouds,0.0,0.0
Boone,39.03,-92.33,61.0,37,23,8.48,US,2020-04-19 01-09:52,few clouds,0.0,0.0
Rockland,41.17,-74.05,42.01,72,65,9.62,US,2020-04-19 01-09:53,light rain,0.14,0.0
Antofagasta,-23.65,-70.4,62.6,82,20,8.05,CL,2020-04-19 01-03:30,few clouds,0.0,0.0
Lorengau,-2.02,147.27,84.88,69,11,3.4,PG,2020-04-19 01-01:07,few clouds,0.0,0.0
Santiago De Cao,-7.96,-79.24,72.93,79,18,7.76,PE,2020-04-19 01-04:16,few clouds,0.0,0.0
Arraial Do Cabo,-22.97,-42.03,74.16,71,97,8.01,BR,2020-04-19 01-02:29,overcast clouds,0.0,0.0
Sibolga,1.74,98.78,77.61,79,79,3.76,ID,2020-04-19 01-09:55,light rain,1.01,0.0
Souillac,-20.52,57.52,75.0,85,25,5.99,MU,2020-04-19 00-59:37,scattered clouds,0.0,0.0
Winnemucca,40.97,-117.74,66.2,13,75,8.05,US,2020-04-19 01-07:03,broken clouds,0.0,0.0
Arvika,59.66,12.59,37.0,74,0,8.05,SE,2020-04-19 01-08:02,clear sky,0.0,0.0
Gat,31.61,34.76,61.0,20,0,5.46,IL,2020-04-19 01-09:50,clear sky,0.0,0.0
Tuatapere,-46.13,167.68,55.99,64,54,10.0,NZ,2020-04-19 01-03:33,light rain,0.52,0.0
Almaznyy,48.04,40.05,37.4,47,90,2.24,RU,2020-04-19 01-09:58,overcast clouds,0.0,0.0
Porto Walter,-8.27,-72.74,71.67,67,19,1.66,BR,2020-04-19 01-09:58,few clouds,0.0,0.0
Pachino,36.72,15.09,57.99,93,80,3.36,IT,2020-04-19 01-09:59,mist,0.0,0.0
Bud,39.45,-86.18,50.0,67,1,8.05,US,2020-04-19 01-03:23,clear sky,0.0,0.0
Usinsk,65.99,57.53,29.62,98,99,3.74,RU,2020-04-19 01-09:59,overcast clouds,0.0,0.0
Isabela,6.71,121.97,87.8,66,40,6.93,PH,2020-04-19 01-10:00,scattered clouds,0.0,0.0
Kieta,-6.22,155.63,85.6,64,65,0.92,PG,2020-04-19 01-03:54,broken clouds,0.0,0.0
Pucallpa,-8.38,-74.55,71.92,63,36,0.51,PE,2020-04-19 01-07:48,scattered clouds,0.0,0.0
Piacabucu,-10.41,-36.43,78.94,83,93,4.47,BR,2020-04-19 01-10:01,light rain,1.84,0.0
Tymovskoye,50.85,142.66,35.35,80,97,4.14,RU,2020-04-19 01-10:01,overcast clouds,0.0,0.0
Iwanuma,38.1,140.86,52.0,66,75,21.92,JP,2020-04-19 01-10:02,broken clouds,0.0,0.0
Ubatuba,-23.43,-45.07,70.95,79,89,2.73,BR,2020-04-19 01-10:02,light rain,1.33,0.0
Russell,32.35,-85.2,75.2,52,1,4.7,US,2020-04-19 01-10:03,clear sky,0.0,0.0
Zhezkazgan,47.8,67.71,52.36,49,61,7.07,KZ,2020-04-19 01-00:45,broken clouds,0.0,0.0
Balakirevo,56.51,38.84,31.42,91,86,4.5,RU,2020-04-19 01-10:04,overcast clouds,0.0,0.0
Lensk,60.73,114.93,17.06,89,94,6.73,RU,2020-04-19 01-10:04,light snow,0.0,0.12
Meiganga,6.52,14.3,70.57,60,41,2.44,CM,2020-04-19 01-10:04,scattered clouds,0.0,0.0
Noshiro,40.2,140.02,59.0,70,75,14.99,JP,2020-04-19 01-10:05,broken clouds,0.0,0.0
Exeter,50.72,-3.53,51.01,94,79,6.67,GB,2020-04-19 01-10:06,broken clouds,0.0,0.0
Itoman,26.12,127.67,77.0,78,75,14.99,JP,2020-04-19 01-03:36,broken clouds,0.0,0.0
Kiama,-34.68,150.87,68.0,56,40,3.36,AU,2020-04-19 01-09:40,scattered clouds,0.0,0.0
Valle Hermoso,25.67,-97.83,84.2,74,40,13.87,MX,2020-04-19 01-10:07,haze,0.0,0.0
Venancio Aires,-29.61,-52.19,61.0,90,0,2.44,BR,2020-04-19 01-10:07,clear sky,0.0,0.0
Le Port,-20.94,55.29,75.2,83,75,14.99,RE,2020-04-19 01-10:08,light intensity drizzle rain,0.0,0.0
Wang Noi,14.23,100.72,86.0,78,87,5.39,TH,2020-04-19 01-10:08,overcast clouds,0.0,0.0
Naze,28.37,129.48,73.4,88,75,11.41,JP,2020-04-19 01-10:09,broken clouds,0.0,0.0
Dakar,14.69,-17.44,68.0,82,23,16.11,SN,2020-04-19 01-03:38,few clouds,0.0,0.0
Caramay,10.18,119.24,85.66,69,23,9.71,PH,2020-04-19 01-10:10,light rain,1.0,0.0
Lasa,46.62,10.7,50.0,71,5,6.93,IT,2020-04-19 01-03:55,clear sky,0.0,0.0
Hedaru,-4.5,37.9,68.65,76,100,5.19,TZ,2020-04-19 01-10:11,light rain,0.23,0.0
Tigil,57.8,158.67,26.64,93,96,16.96,RU,2020-04-19 01-10:11,overcast clouds,0.0,0.0
Sorland,67.67,12.69,40.78,92,100,10.6,NO,2020-04-19 01-04:03,light rain,0.11,0.0
Gaya,24.78,85.0,75.2,57,40,4.7,IN,2020-04-19 01-10:12,thunderstorm,0.0,0.0
Presidencia Roque Saenz Pena,-26.79,-60.44,66.11,57,0,4.12,AR,2020-04-19 01-10:12,clear sky,0.0,0.0
Shuyskoye,59.37,41.03,31.24,96,80,2.57,RU,2020-04-19 01-10:13,broken clouds,0.0,0.0
Springbok,-29.66,17.89,52.72,48,59,1.79,ZA,2020-04-19 01-10:13,broken clouds,0.0,0.0
Sisimiut,66.94,-53.67,20.35,91,97,6.67,GL,2020-04-19 01-04:13,light snow,0.0,0.31
Jining,35.41,116.58,50.9,86,100,3.53,CN,2020-04-19 01-10:14,light rain,0.78,0.0
Shache,38.42,77.24,53.15,45,94,9.08,CN,2020-04-19 01-10:15,overcast clouds,0.0,0.0
Vardo,70.37,31.11,36.88,81,98,18.16,NO,2020-04-19 01-03:19,overcast clouds,0.0,0.0
Tomigusuku,26.18,127.67,77.0,78,75,14.99,JP,2020-04-19 01-10:15,broken clouds,0.0,0.0
Pangai,-19.8,-174.35,84.2,74,20,14.99,TO,2020-04-19 01-10:16,few clouds,0.0,0.0
Muli,2.92,73.57,84.06,78,74,13.49,MV,2020-04-19 01-04:00,light rain,1.19,0.0
Kamenka,51.32,42.77,35.01,83,0,3.0,RU,2020-04-19 00-58:56,clear sky,0.0,0.0
Puerto Del Rosario,28.5,-13.86,64.4,77,1,10.29,ES,2020-04-19 01-01:23,clear sky,0.0,0.0
Vila Velha,-20.33,-40.29,75.2,78,75,11.41,BR,2020-04-19 01-04:02,broken clouds,0.0,0.0
Tutoia,-2.76,-42.27,78.96,83,100,4.54,BR,2020-04-19 01-10:18,overcast clouds,0.0,0.0
Oussouye,12.48,-16.55,77.0,73,79,11.41,SN,2020-04-19 01-10:20,broken clouds,0.0,0.0
Masallatah,32.62,14.0,64.24,49,18,12.08,LY,2020-04-19 01-10:21,few clouds,0.0,0.0
Timmins,48.47,-81.33,44.6,52,90,17.22,CA,2020-04-19 01-09:52,light rain,0.0,0.0
Solwezi,-12.17,26.39,60.37,65,26,5.3,ZM,2020-04-19 01-10:21,scattered clouds,0.0,0.0
Paramonga,-10.67,-77.83,72.64,75,48,9.89,PE,2020-04-19 01-10:22,scattered clouds,0.0,0.0
Evensk,61.95,159.23,18.86,88,100,11.7,RU,2020-04-19 01-04:08,overcast clouds,0.0,0.0
Moron,-34.65,-58.62,69.01,82,0,9.48,AR,2020-04-19 01-07:32,clear sky,0.0,0.0
Alzamay,55.56,98.66,29.26,87,8,4.05,RU,2020-04-19 01-10:23,clear sky,0.0,0.0
Touba,8.28,-7.68,75.96,72,99,7.23,CI,2020-04-19 01-10:24,light rain,0.16,0.0
Peachland,49.77,-119.74,57.99,48,78,5.39,CA,2020-04-19 01-10:25,light rain,0.39,0.0
Alpena,45.06,-83.43,53.6,34,1,16.11,US,2020-04-19 01-10:25,clear sky,0.0,0.0
Ananas,19.25,-71.96,74.59,71,83,2.13,HT,2020-04-19 01-10:26,light rain,0.94,0.0
